PECD_CODE,PECD_STUDY_ZONE,Country,NUTS0,Weight_in_aggregation,Installed_capacity_MW
BE012_OFF,BE00_OFF,BE_OFF,BE_OFF,1774.75,1774.75
DE011_OFF,DE00_OFF,DE_OFF,DE_OFF,3974.92,3974.92
DE012_OFF,DE00_OFF,DE_OFF,DE_OFF,2655.22,2655.22
DE02_OFF,DE00_OFF,DE_OFF,DE_OFF,1088.9,1088.9
DKE1_OFF,DKE1_OFF,DK_OFF,DK_OFF,423.4,423.4
DKW11_OFF,DKW1_OFF,DK_OFF,DK_OFF,776.0,776.0
DKW12_OFF,DKW1_OFF,DK_OFF,DK_OFF,456.2,456.2
ES04_OFF,ES00_OFF,ES_OFF,ES_OFF,20.0,20.0
FI021_OFF,FI00_OFF,FI_OFF,FI_OFF,44.3,44.3
FR081_OFF,FR00_OFF,FR_OFF,FR_OFF,10.2,10.2
IE00_OFF,IE00_OFF,IE_OFF,IE_OFF,25.2,25.2
NL011_OFF,NL00_OFF,NL_OFF,NL_OFF,600.0,600.0
NL031_OFF,NL00_OFF,NL_OFF,NL_OFF,357.0,357.0
NL033_OFF,NL00_OFF,NL_OFF,NL_OFF,19.0,19.0
NOS21_OFF,NOS0_OFF,NO_OFF,NO_OFF,22.3,22.3
PT02_OFF,PT00_OFF,PT_OFF,PT_OFF,25.0,25.0
SE03_OFF,SE03_OFF,SE_OFF,SE_OFF,50.75,50.75
SE04_OFF,SE04_OFF,SE_OFF,SE_OFF,110.4,110.4
UK011_OFF,UK00_OFF,UK_OFF,UK_OFF,3285.5,3285.5
UK031_OFF,UK00_OFF,UK_OFF,UK_OFF,1072.0,1072.0
UK032_OFF,UK00_OFF,UK_OFF,UK_OFF,1756.5,1756.5
UK041_OFF,UK00_OFF,UK_OFF,UK_OFF,532.6,532.6
UK042_OFF,UK00_OFF,UK_OFF,UK_OFF,1218.0,1218.0
UK043_OFF,UK00_OFF,UK_OFF,UK_OFF,1829.0,1829.0
UK051_OFF,UK00_OFF,UK_OFF,UK_OFF,718.2,718.2
