PECD_CODE,PECD_STUDY_ZONE,Country,NUTS0,Weight_in_aggregation
AL00_OFF,AL00_OFF,AL_OFF,AL_OFF,8
BE011_OFF,BE00_OFF,BE_OFF,BE_OFF,1
BE012_OFF,BE00_OFF,BE_OFF,BE_OFF,2
BE013_OFF,BE00_OFF,BE_OFF,BE_OFF,2
BG01_OFF,BG00_OFF,BG_OFF,BG_OFF,13
CY00_OFF,CY00_OFF,CY_OFF,CY_OFF,32
DE011_OFF,DE00_OFF,DE_OFF,DE_OFF,5
DE012_OFF,DE00_OFF,DE_OFF,DE_OFF,6
DE013_OFF,DE00_OFF,DE_OFF,DE_OFF,4
DE014_OFF,DE00_OFF,DE_OFF,DE_OFF,5
DE015_OFF,DE00_OFF,DE_OFF,DE_OFF,2
DE02_OFF,DE00_OFF,DE_OFF,DE_OFF,12
DKBI_OFF,DKBI_OFF,DK_OFF,DK_OFF,10
DKE1_OFF,DKE1_OFF,DK_OFF,DK_OFF,12
DKKF_OFF,DKKF_OFF,DK_OFF,DK_OFF,1
DKW013_OFF,DKW1_OFF,DK_OFF,DK_OFF,18
DKW11_OFF,DKW1_OFF,DK_OFF,DK_OFF,21
DKW12_OFF,DKW1_OFF,DK_OFF,DK_OFF,16
DKW14_OFF,DKW1_OFF,DK_OFF,DK_OFF,10
DKW15_OFF,DKW1_OFF,DK_OFF,DK_OFF,4
DZ00_OFF,DZ00_OFF,DZ_OFF,DZ_OFF,61
EEN1_OFF,EE00_OFF,EE_OFF,EE_OFF,20
EES1_OFF,EE00_OFF,EE_OFF,EE_OFF,6
EEW1_OFF,EE00_OFF,EE_OFF,EE_OFF,4
EG00_OFF,EG00_OFF,EG_OFF,EG_OFF,88
ES01_OFF,ES00_OFF,ES_OFF,ES_OFF,27
ES02_OFF,ES00_OFF,ES_OFF,ES_OFF,20
ES04_OFF,ES00_OFF,ES_OFF,ES_OFF,5
ES06_OFF,ES00_OFF,ES_OFF,ES_OFF,19
ES09_OFF,ES00_OFF,ES_OFF,ES_OFF,15
ES10_OFF,ES00_OFF,ES_OFF,ES_OFF,16
ES11_OFF,ES00_OFF,ES_OFF,ES_OFF,32
FI011_OFF,FI00_OFF,FI_OFF,FI_OFF,16
FI021_OFF,FI00_OFF,FI_OFF,FI_OFF,29
FI022_OFF,FI00_OFF,FI_OFF,FI_OFF,21
FI023_OFF,FI00_OFF,FI_OFF,FI_OFF,16
FR01_OFF,FR00_OFF,FR_OFF,FR_OFF,13
FR02_OFF,FR00_OFF,FR_OFF,FR_OFF,4
FR031_OFF,FR00_OFF,FR_OFF,FR_OFF,3
FR032_OFF,FR00_OFF,FR_OFF,FR_OFF,29
FR03_OFF,FR00_OFF,FR_OFF,FR_OFF,1
FR041_OFF,FR00_OFF,FR_OFF,FR_OFF,6
FR042_OFF,FR00_OFF,FR_OFF,FR_OFF,3
FR04_OFF,FR00_OFF,FR_OFF,FR_OFF,1
FR081_OFF,FR00_OFF,FR_OFF,FR_OFF,25
FR082_OFF,FR00_OFF,FR_OFF,FR_OFF,4
FR09_OFF,FR00_OFF,FR_OFF,FR_OFF,9
FR13_OFF,FR00_OFF,FR_OFF,FR_OFF,8
GG00_OFF,GG00_OFF,GG_OFF,GG_OFF,7
GR01_OFF,GR00_OFF,GR_OFF,EL_OFF,16
GR02_OFF,GR00_OFF,GR_OFF,EL_OFF,103
GR03_OFF,GR00_OFF,GR_OFF,EL_OFF,32
HR01_OFF,HR00_OFF,HR_OFF,HR_OFF,40
IE00_OFF,IE00_OFF,IE_OFF,IE_OFF,83
IL00_OFF,IL00_OFF,IL_OFF,IL_OFF,10
IS00_OFF,IS00_OFF,IS_OFF,IS_OFF,195
ITCA_OFF,ITCA_OFF,IT_OFF,IT_OFF,22
ITCN_OFF,ITCN_OFF,IT_OFF,IT_OFF,10
ITCS_OFF,ITCS_OFF,IT_OFF,IT_OFF,33
ITN1_OFF,ITN1_OFF,IT_OFF,IT_OFF,16
ITS1_OFF,ITS1_OFF,IT_OFF,IT_OFF,32
ITSA_OFF,ITSA_OFF,IT_OFF,IT_OFF,46
ITSI_OFF,ITSI_OFF,IT_OFF,IT_OFF,48
LB00_OFF,LB00_OFF,LB_OFF,LB_OFF,11
LT00_OFF,LT00_OFF,LT_OFF,LT_OFF,5
LV00_OFF,LV00_OFF,LV_OFF,LV_OFF,20
LY01_OFF,LY00_OFF,LY_OFF,LY_OFF,44
LY02_OFF,LY00_OFF,LY_OFF,LY_OFF,48
MA01_OFF,MA00_OFF,MA_OFF,MA_OFF,11
MA02_OFF,MA00_OFF,MA_OFF,MA_OFF,5
MA04_OFF,MA00_OFF,MA_OFF,MA_OFF,33
MA05_OFF,MA00_OFF,MA_OFF,MA_OFF,20
MA06_OFF,MA00_OFF,MA_OFF,MA_OFF,8
ME00_OFF,ME00_OFF,ME_OFF,ME_OFF,4
MT00_OFF,MT00_OFF,MT_OFF,MT_OFF,2
NL011_OFF,NL00_OFF,NL_OFF,NL_OFF,5
NL012_OFF,NL00_OFF,NL_OFF,NL_OFF,12
NL013_OFF,NL00_OFF,NL_OFF,NL_OFF,4
NL031_OFF,NL00_OFF,NL_OFF,NL_OFF,8
NL032_OFF,NL00_OFF,NL_OFF,NL_OFF,7
NL033_OFF,NL00_OFF,NL_OFF,NL_OFF,3
NOM1_OFF,NOM1_OFF,NO_OFF,NO_OFF,41
NON1_OFF,NON1_OFF,NO_OFF,NO_OFF,213
