PECD_CODE,PECD_STUDY_ZONE,Country,NUTS0,Weight_in_aggregation,Installed_capacity_MW
AT01,AT00,AT,AT,4.6,4.6
AT02,AT00,AT,AT,294.12,294.12
AT03,AT00,AT,AT,2792.407,2792.407
BA00,BA00,BA,BA,86.6,86.6
BE01,BE00,BE,BE,582.71,582.71
BE02,BE00,BE,BE,1117.96,1117.96
BE03,BE00,BE,BE,818.53,818.53
BG01,BG00,BG,BG,690.6,690.6
BG02,BG00,BG,BG,21.0,21.0
CH00,CH00,CH,CH,86.8,86.8
CY00,CY00,CY,CY,164.75,164.75
CZ01,CZ00,CZ,CZ,226.39,226.39
CZ02,CZ00,CZ,CZ,113.67,113.67
DE01,DE00,DE,DE,18439.705,18439.705
DE02,DE00,DE,DE,11548.175,11548.175
DE03,DE00,DE,DE,5815.227,5815.227
DE04,DE00,DE,DE,7238.132,7238.132
DE05,DE00,DE,DE,6444.755,6444.755
DE06,DE00,DE,DE,1545.362,1545.362
DE07,DE00,DE,DE,2571.765,2571.765
DKE1,DKE1,DK,DK,679.249,679.249
DKW1,DKW1,DK,DK,3193.755,3193.755
DZ02,DZ00,DZ,DZ,10.2,10.2
EE00,EE00,EE,EE,383.21,383.21
EG00,EG00,EG,EG,1227.47,1227.47
ES01,ES00,ES,ES,3717.65,3717.65
ES02,ES00,ES,ES,1773.79,1773.79
ES03,ES00,ES,ES,5355.905,5355.905
ES04,ES00,ES,ES,1839.34,1839.34
ES05,ES00,ES,ES,2764.85,2764.85
ES06,ES00,ES,ES,1069.05,1069.05
ES08,ES00,ES,ES,366.2,366.2
ES09,ES00,ES,ES,1996.92,1996.92
ES10,ES00,ES,ES,793.73,793.73
ES11,ES00,ES,ES,4401.87,4401.87
ES12,ES00,ES,ES,3.2,3.2
FI01,FI00,FI,FI,1592.27,1592.27
FI02,FI00,FI,FI,1059.855,1059.855
FR01,FR00,FR,FR,65.72,65.72
FR02,FR00,FR,FR,1558.66,1558.66
FR03,FR00,FR,FR,57.85,57.85
FR04,FR00,FR,FR,1434.05,1434.05
FR05,FR00,FR,FR,1624.5,1624.5
FR06,FR00,FR,FR,420.5,420.5
FR07,FR00,FR,FR,50.95,50.95
FR08,FR00,FR,FR,1582.74,1582.74
FR09,FR00,FR,FR,384.8,384.8
FR10,FR00,FR,FR,88.95,88.95
FR11,FR00,FR,FR,1822.55,1822.55
FR12,FR00,FR,FR,1292.34,1292.34
FR13,FR00,FR,FR,5136.42,5136.42
FR14,FR00,FR,FR,1417.87,1417.87
FR15,FR15,FR,FR,6.0,6.0
GR01,GR00,GR,EL,1045.9,1045.9
GR02,GR00,GR,EL,2367.22,2367.22
GR03,GR03,GR,EL,153.0,153.0
HR01,HR00,HR,HR,554.0,554.0
HU02,HU00,HU,HU,382.05,382.05
HU03,HU00,HU,HU,33.825,33.825
IE00,IE00,IE,IE,4323.165,4323.165
IL00,IL00,IL,IL,9.35,9.35
IS00,IS00,IS,IS,3.0,3.0
ITCA,ITCA,IT,IT,935.1,935.1
ITCN,ITCN,IT,IT,140.05,140.05
ITCS,ITCS,IT,IT,1827.685,1827.685
ITN1,ITN1,IT,IT,122.2,122.2
ITS1,ITS1,IT,IT,3576.21,3576.21
ITSA,ITSA,IT,IT,1002.385,1002.385
ITSI,ITSI,IT,IT,2067.96,2067.96
JO00,JO00,JO,JO,524.925,524.925
LT00,LT00,LT,LT,427.55,427.55
LU00,LU00,LU,LU,149.05,149.05
LV00,LV00,LV,LV,53.1,53.1
MA01,MA00,MA,MA,396.95,396.95
