PECD_CODE,PECD_STUDY_ZONE,Country,NUTS0,Weight_in_aggregation
AL00,AL00,AL,AL,15
AT01,AT00,AT,AT,8
AT02,AT00,AT,AT,20
AT03,AT00,AT,AT,15
BA00,BA00,BA,BA,35
BE01,BE00,BE,BE,4
BE02,BE00,BE,BE,8
BE03,BE00,BE,BE,11
BG01,BG00,BG,BG,46
BG02,BG00,BG,BG,28
CH00,CH00,CH,CH,13
CY00,CY00,CY,CY,4
CZ01,CZ00,CZ,CZ,28
CZ02,CZ00,CZ,CZ,23
DE01,DE00,DE,DE,42
DE02,DE00,DE,DE,30
DE03,DE00,DE,DE,13
DE04,DE00,DE,DE,31
DE05,DE00,DE,DE,32
DE06,DE00,DE,DE,20
DE07,DE00,DE,DE,34
DKE1,DKE1,DK,DK,9
DKW1,DKW1,DK,DK,32
DZ01,DZ00,DZ,DZ,418
DZ02,DZ00,DZ,DZ,399
DZ03,DZ00,DZ,DZ,484
EE00,EE00,EE,EE,36
EG00,EG00,EG,EG,539
ES01,ES00,ES,ES,20
ES02,ES00,ES,ES,32
ES03,ES00,ES,ES,41
ES04,ES00,ES,ES,13
ES05,ES00,ES,ES,31
ES06,ES00,ES,ES,15
ES07,ES00,ES,ES,4
ES08,ES00,ES,ES,48
ES09,ES00,ES,ES,20
ES10,ES00,ES,ES,23
ES11,ES00,ES,ES,40
ES12,ES00,ES,ES,2
FI01,FI00,FI,FI,171
FI02,FI00,FI,FI,184
FR01,FR00,FR,FR,39
FR02,FR00,FR,FR,24
FR03,FR00,FR,FR,12
FR04,FR00,FR,FR,37
FR05,FR00,FR,FR,41
FR06,FR00,FR,FR,13
FR07,FR00,FR,FR,13
FR08,FR00,FR,FR,27
FR09,FR00,FR,FR,15
FR10,FR00,FR,FR,6
FR11,FR00,FR,FR,24
FR12,FR00,FR,FR,27
FR13,FR00,FR,FR,27
FR14,FR00,FR,FR,9
FR15,FR15,FR,FR,4
GR01,GR00,GR,EL,36
GR02,GR00,GR,EL,28
GR03,GR03,GR,EL,5
HR01,HR00,HR,HR,16
HR02,HR00,HR,HR,24
HU01,HU00,HU,HU,4
HU02,HU00,HU,HU,24
HU03,HU00,HU,HU,36
IE00,IE00,IE,IE,61
IL00,IL00,IL,IL,9
IS00,IS00,IS,IS,102
ITCA,ITCA,IT,IT,8
ITCN,ITCN,IT,IT,20
ITCS,ITCS,IT,IT,28
ITN1,ITN1,IT,IT,70
ITS1,ITS1,IT,IT,20
ITSA,ITSA,IT,IT,16
ITSI,ITSI,IT,IT,16
JO00,JO00,JO,JO,53
LB00,LB00,LB,LB,5
LT00,LT00,LT,LT,52
LU00,LU00,LU,LU,1
LV00,LV00,LV,LV,50
LY01,LY00,LY,LY,161
LY02,LY00,LY,LY,430
LY03,LY00,LY,LY,341
MA01,MA00,MA,MA,5
MA02,MA00,MA,MA,41
MA03,MA00,MA,MA,37
MA04,MA00,MA,MA,44
MA05,MA00,MA,MA,48
MA06,MA00,MA,MA,141
MD00,MD00,MD,MD,24
ME00,ME00,ME,ME,8
MK00,MK00,MK,MK,16
MT00,MT00,MT,MT,1
NL01,NL00,NL,NL,6
NL02,NL00,NL,NL,8
NL03,NL00,NL,NL,8
NL04,NL00,NL,NL,5
NOM1,NOM1,NO,NO,30
NON1,NON1,NO,NO,153
NOS1,NOS0,NO,NO,81
NOS2,NOS0,NO,NO,21
NOS3,NOS0,NO,NO,25
PL01,PL00,PL,PL,60
PL02,PL00,PL,PL,41
PL03,PL00,PL,PL,25
PL04,PL00,PL,PL,58
PL05,PL00,PL,PL,51
PS00,PS00,PS,PS,4
PT01,PT00,PT,PT,24
PT02,PT00,PT,PT,29
RO01,RO00,RO,RO,58
RO02,RO00,RO,RO,51
RO03,RO00,RO,RO,55
RS01,RS00,RS,RS,51
SE01,SE01,SE,SE,104
SE02,SE02,SE,SE,160
SE03,SE03,SE,SE,145
SE04,SE04,SE,SE,26
SI00,SI00,SI,SI,13
SK00,SK00,SK,SK,31
SY00,SY00,SY,SY,119
TN01,TN00,TN,TN,14
TN02,TN00,TN,TN,4
TN03,TN00,TN,TN,14
TN04,TN00,TN,TN,4
TN05,TN00,TN,TN,21
TN06,TN00,TN,TN,8
TN07,TN00,TN,TN,4
TN08,TN00,TN,TN,25
TR01,TR00,TR,TR,16
TR02,TR00,TR,TR,24
TR03,TR00,TR,TR,43
TR04,TR00,TR,TR,30
TR05,TR00,TR,TR,39
TR06,TR00,TR,TR,12
TR07,TR00,TR,TR,60
TR08,TR00,TR,TR,31
TR09,TR00,TR,TR,20
TR10,TR00,TR,TR,33
TR11,TR00,TR,TR,68
TR12,TR00,TR,TR,24
TR13,TR00,TR,TR,18
TR14,TR00,TR,TR,25
TR15,TR00,TR,TR,13
UA01,UA01,UA,UA,19
UA02,UA02,UA,UA,436
UK01,UK00,UK,UK,23
UK02,UK00,UK,UK,13
UK03,UK00,UK,UK,41
UK04,UK00,UK,UK,28
UK05,UK00,UK,UK,44
UKNI,UKNI,UK,UK,10
XK00,RS00,XK,XK,6
