Code,Study_Zone,Country,NUTS0,Weight_in_aggregation
BE012_OFF,BE00_OFF,BE_OFF,BE_OFF,1774.75
DE011_OFF,DE00_OFF,DE_OFF,DE_OFF,3974.92
DE012_OFF,DE00_OFF,DE_OFF,DE_OFF,2655.22
DE02_OFF,DE00_OFF,DE_OFF,DE_OFF,1088.9
DKE1_OFF,DKE1_OFF,DK_OFF,DK_OFF,423.4
DKW11_OFF,DKW1_OFF,DK_OFF,DK_OFF,776.0
DKW12_OFF,DKW1_OFF,DK_OFF,DK_OFF,456.2
ES04_OFF,ES00_OFF,ES_OFF,ES_OFF,20.0
FI021_OFF,FI00_OFF,FI_OFF,FI_OFF,44.3
FR111_OFF,FR00_OFF,FR_OFF,FR_OFF,10.0
FR112_OFF,FR00_OFF,FR_OFF,FR_OFF,0.2
IE02_OFF,IE00_OFF,IE_OFF,IE_OFF,25.2
NL011_OFF,NL00_OFF,NL_OFF,NL_OFF,600.0
NL031_OFF,NL00_OFF,NL_OFF,NL_OFF,357.0
NL033_OFF,NL00_OFF,NL_OFF,NL_OFF,19.0
NOS21_OFF,NOS2_OFF,NO_OFF,NO_OFF,22.3
PT02_OFF,PT00_OFF,PT_OFF,PT_OFF,25.0
SE03_OFF,SE03_OFF,SE_OFF,SE_OFF,50.75
SE04_OFF,SE04_OFF,SE_OFF,SE_OFF,110.4
UK011_OFF,UK00_OFF,UK_OFF,UK_OFF,3285.5
UK031_OFF,UK00_OFF,UK_OFF,UK_OFF,1072.0
UK032_OFF,UK00_OFF,UK_OFF,UK_OFF,1756.5
UK041_OFF,UK00_OFF,UK_OFF,UK_OFF,532.6
UK042_OFF,UK00_OFF,UK_OFF,UK_OFF,1218.0
UK043_OFF,UK00_OFF,UK_OFF,UK_OFF,1829.0
UK051_OFF,UK00_OFF,UK_OFF,UK_OFF,718.2
