Code,Study_Zone,Country,NUTS0,Weight_in_aggregation
AL00_OFF,AL00_OFF,AL_OFF,AL_OFF,8
BE011_OFF,BE00_OFF,BE_OFF,BE_OFF,1
BE012_OFF,BE00_OFF,BE_OFF,BE_OFF,2
BE013_OFF,BE00_OFF,BE_OFF,BE_OFF,2
BG01_OFF,BG00_OFF,BG_OFF,BG_OFF,13
CY00_OFF,CY00_OFF,CY_OFF,CY_OFF,32
DE011_OFF,DE00_OFF,DE_OFF,DE_OFF,5
DE012_OFF,DE00_OFF,DE_OFF,DE_OFF,6
DE013_OFF,DE00_OFF,DE_OFF,DE_OFF,4
DE014_OFF,DE00_OFF,DE_OFF,DE_OFF,5
DE015_OFF,DE00_OFF,DE_OFF,DE_OFF,2
DE02_OFF,DE00_OFF,DE_OFF,DE_OFF,12
DKBI_OFF,DKBI_OFF,DK_OFF,DK_OFF,10
DKE1_OFF,DKE1_OFF,DK_OFF,DK_OFF,12
DKKF_OFF,DKKF_OFF,DK_OFF,DK_OFF,1
DKW013_OFF,DKW1_OFF,DK_OFF,DK_OFF,18
DKW11_OFF,DKW1_OFF,DK_OFF,DK_OFF,21
DKW12_OFF,DKW1_OFF,DK_OFF,DK_OFF,16
DKW14_OFF,DKW1_OFF,DK_OFF,DK_OFF,10
DKW15_OFF,DKW1_OFF,DK_OFF,DK_OFF,4
DZ01_OFF,DZ00_OFF,DZ_OFF,DZ_OFF,24
DZ02_OFF,DZ00_OFF,DZ_OFF,DZ_OFF,18
DZ04_OFF,DZ00_OFF,DZ_OFF,DZ_OFF,19
EEN1_OFF,EE00_OFF,EE_OFF,EE_OFF,20
EES1_OFF,EE00_OFF,EE_OFF,EE_OFF,6
EEW1_OFF,EE00_OFF,EE_OFF,EE_OFF,4
EG01_OFF,EG00_OFF,EG_OFF,EG_OFF,21
EG02_OFF,EG00_OFF,EG_OFF,EG_OFF,18
EG03_OFF,EG00_OFF,EG_OFF,EG_OFF,1
EG04_OFF,EG00_OFF,EG_OFF,EG_OFF,7
EG05_OFF,EG00_OFF,EG_OFF,EG_OFF,1
EG06_OFF,EG00_OFF,EG_OFF,EG_OFF,9
EG07_OFF,EG00_OFF,EG_OFF,EG_OFF,29
ES01_OFF,ES00_OFF,ES_OFF,ES_OFF,27
ES02_OFF,ES00_OFF,ES_OFF,ES_OFF,20
ES04_OFF,ES00_OFF,ES_OFF,ES_OFF,5
ES06_OFF,ES00_OFF,ES_OFF,ES_OFF,19
ES09_OFF,ES00_OFF,ES_OFF,ES_OFF,15
ES10_OFF,ES00_OFF,ES_OFF,ES_OFF,16
ES11_OFF,ES00_OFF,ES_OFF,ES_OFF,32
FI011_OFF,FI00_OFF,FI_OFF,FI_OFF,16
FI021_OFF,FI00_OFF,FI_OFF,FI_OFF,29
FI022_OFF,FI00_OFF,FI_OFF,FI_OFF,21
FI023_OFF,FI00_OFF,FI_OFF,FI_OFF,16
FR01_OFF,FR00_OFF,FR_OFF,FR_OFF,2
FR021_OFF,FR00_OFF,FR_OFF,FR_OFF,4
FR022_OFF,FR00_OFF,FR_OFF,FR_OFF,18
FR03_OFF,FR00_OFF,FR_OFF,FR_OFF,13
FR071_OFF,FR00_OFF,FR_OFF,FR_OFF,3
FR072_OFF,FR00_OFF,FR_OFF,FR_OFF,1
FR111_OFF,FR00_OFF,FR_OFF,FR_OFF,8
FR112_OFF,FR00_OFF,FR_OFF,FR_OFF,11
FR113_OFF,FR00_OFF,FR_OFF,FR_OFF,8
FR114_OFF,FR00_OFF,FR_OFF,FR_OFF,3
FR115_OFF,FR00_OFF,FR_OFF,FR_OFF,1
FR116_OFF,FR00_OFF,FR_OFF,FR_OFF,1
FR171_OFF,FR00_OFF,FR_OFF,FR_OFF,4
FR172_OFF,FR00_OFF,FR_OFF,FR_OFF,3
FR173_OFF,FR00_OFF,FR_OFF,FR_OFF,5
FR20_OFF,FR00_OFF,FR_OFF,FR_OFF,4
FR22_OFF,FR00_OFF,FR_OFF,FR_OFF,3
FR24_OFF,FR00_OFF,FR_OFF,FR_OFF,3
FR27_OFF,FR00_OFF,FR_OFF,FR_OFF,16
GG00_OFF,GG00_OFF,GG_OFF,GG_OFF,7
GR011_OFF,GR00_OFF,GR_OFF,EL_OFF,16
GR012_OFF,GR00_OFF,GR_OFF,EL_OFF,17
GR02_OFF,GR00_OFF,GR_OFF,EL_OFF,85
GR03_OFF,GR00_OFF,GR_OFF,EL_OFF,32
HR01_OFF,HR00_OFF,HR_OFF,HR_OFF,40
IE01_OFF,IE00_OFF,IE_OFF,IE_OFF,4
IE02_OFF,IE00_OFF,IE_OFF,IE_OFF,5
IE03_OFF,IE00_OFF,IE_OFF,IE_OFF,19
IE04_OFF,IE00_OFF,IE_OFF,IE_OFF,11
IE05_OFF,IE00_OFF,IE_OFF,IE_OFF,21
IE06_OFF,IE00_OFF,IE_OFF,IE_OFF,22
IL01_OFF,IL00_OFF,IL_OFF,IL_OFF,8
IL02_OFF,IL00_OFF,IL_OFF,IL_OFF,1
IS00_OFF,IS00_OFF,IS_OFF,IS_OFF,195
ITCA_OFF,ITCA_OFF,IT_OFF,IT_OFF,22
ITCN1_OFF,ITCN_OFF,IT_OFF,IT_OFF,2
ITCN2_OFF,ITCN_OFF,IT_OFF,IT_OFF,8
ITCS1_OFF,ITCS_OFF,IT_OFF,IT_OFF,28
ITCS2_OFF,ITCS_OFF,IT_OFF,IT_OFF,5
