Code,Study_Zone,Country,NUTS0,Weight_in_aggregation
AT01,AT00,AT,AT,2643.442
AT02,AT00,AT,AT,248.0
AT03,AT00,AT,AT,3.3
AT04,AT00,AT,AT,196.385
BA00,BA00,BA,BA,86.6
BE01,BE00,BE,BE,582.71
BE02,BE00,BE,BE,1117.96
BE03,BE00,BE,BE,818.53
BG01,BG00,BG,BG,690.6
BG02,BG00,BG,BG,21.0
CH00,CH00,CH,CH,86.8
CY00,CY00,CY,CY,164.75
CZ01,CZ00,CZ,CZ,226.39
CZ02,CZ00,CZ,CZ,113.67
DE01,DE00,DE,DE,18439.705
DE02,DE00,DE,DE,11548.175
DE03,DE00,DE,DE,5815.227
DE04,DE00,DE,DE,7238.132
DE05,DE00,DE,DE,6444.755
DE06,DE00,DE,DE,1545.362
DE07,DE00,DE,DE,2571.765
DKE1,DKE1,DK,DK,679.249
DKW1,DKW1,DK,DK,3193.755
DZ09,DZ00,DZ,DZ,10.2
EE00,EE00,EE,EE,383.21
EG03,EG00,EG,EG,424.97
EG06,EG00,EG,EG,262.5
EG07,EG00,EG,EG,540.0
ES01,ES00,ES,ES,3717.65
ES02,ES00,ES,ES,1773.79
ES03,ES00,ES,ES,5355.905
ES04,ES00,ES,ES,1839.34
ES05,ES00,ES,ES,2764.85
ES06,ES00,ES,ES,1069.05
ES08,ES00,ES,ES,366.2
ES09,ES00,ES,ES,1996.92
ES10,ES00,ES,ES,793.73
ES11,ES00,ES,ES,4401.87
ES12,ES00,ES,ES,3.2
FI01,FI00,FI,FI,1592.27
FI02,FI00,FI,FI,1059.855
FR01,FR00,FR,FR,985.91
FR02,FR00,FR,FR,198.18
FR03,FR00,FR,FR,20.4
FR04,FR00,FR,FR,639.69
FR05,FR00,FR,FR,261.55
FR07,FR00,FR,FR,1214.6
FR08,FR00,FR,FR,593.6
FR09,FR00,FR,FR,540.5
FR10,FR00,FR,FR,29.95
FR11,FR00,FR,FR,1266.19
FR12,FR00,FR,FR,121.65
FR13,FR00,FR,FR,79.0
FR14,FR00,FR,FR,804.25
FR15,FR00,FR,FR,1528.15
FR16,FR00,FR,FR,284.49
FR17,FR00,FR,FR,702.9
FR18,FR00,FR,FR,21.9
FR19,FR00,FR,FR,12.0
FR20,FR00,FR,FR,222.7
FR21,FR00,FR,FR,74.75
FR22,FR00,FR,FR,498.6
FR23,FR00,FR,FR,500.65
FR24,FR00,FR,FR,4048.37
FR25,FR00,FR,FR,1188.67
FR26,FR00,FR,FR,1099.25
FR27,FR00,FR,FR,6.0
GR01,GR00,GR,EL,1045.9
GR02,GR00,GR,EL,2367.22
GR03,GR03,GR,EL,153.0
HR01,HR00,HR,HR,554.0
HU02,HU00,HU,HU,382.05
HU03,HU00,HU,HU,33.825
IE00,IE00,IE,IE,4323.165
IL01,IL00,IL,IL,9.35
IS00,IS00,IS,IS,3.0
ITCA,ITCA,IT,IT,935.1
ITCN,ITCN,IT,IT,140.05
ITCS,ITCS,IT,IT,1827.685
ITN1,ITN1,IT,IT,122.2
ITS1,ITS1,IT,IT,3576.21
ITSA,ITSA,IT,IT,1002.385
ITSI,ITSI,IT,IT,2067.96
JO01,JO00,JO,JO,1.125
JO02,JO00,JO,JO,423.8
JO04,JO00,JO,JO,100.0
LT00,LT00,LT,LT,427.55
LU00,LU00,LU,LU,149.05
LV00,LV00,LV,LV,53.1
MA01,MA00,MA,MA,396.95
MA06,MA00,MA,MA,0.25
MA07,MA00,MA,MA,60.35
MA11,MA00,MA,MA,261.47
ME00,ME00,ME,ME,122.1
MK00,MK00,MK,MK,36.8
NL01,NL00,NL,NL,834.11
NL02,NL00,NL,NL,1037.22
NL03,NL00,NL,NL,1528.565
NL04,NL00,NL,NL,275.35
NOM1,NOM1,NO,NO,154.15
NOM2,NOM1,NO,NO,1164.6
NON1,NON1,NO,NO,179.2
NON2,NON1,NO,NO,335.4
NON3,NON1,NO,NO,176.35
NOS13,NOS1,NO,NO,165.6
NOS21,NOS2,NO,NO,283.55
NOS22,NOS2,NO,NO,793.825
NOS31,NOS3,NO,NO,149.6
NOS33,NOS3,NO,NO,22.65
PL01,PL00,PL,PL,831.4
PL02,PL00,PL,PL,215.35
PL03,PL00,PL,PL,167.07
PL04,PL00,PL,PL,1597.478
PL05,PL00,PL,PL,2665.3
PS01,PS00,PS,PS,11.9
PT01,PT00,PT,PT,4022.46
PT02,PT00,PT,PT,1291.72
RO01,RO00,RO,RO,15.0
RO02,RO00,RO,RO,84.6
RO03,RO00,RO,RO,1959.45
RS01,RS00,RS,RS,833.25
SE01,SE01,SE,SE,1246.42
SE02,SE02,SE,SE,4371.32
SE03,SE03,SE,SE,3197.89
SE04,SE04,SE,SE,1077.53
SI00,SI00,SI,SI,3.2
SK00,SK00,SK,SK,3.14
SY01,SY00,SY,SY,6.0
SY03,SY00,SY,SY,5.0
TN01,TN00,TN,TN,242.36
TR01,TR00,TR,TR,926.75
TR02,TR00,TR,TR,2101.67
TR03,TR00,TR,TR,105.2
TR04,TR00,TR,TR,3046.4
TR05,TR00,TR,TR,475.4
TR06,TR00,TR,TR,35.0
TR07,TR00,TR,TR,338.05
TR08,TR00,TR,TR,349.025
TR09,TR00,TR,TR,275.1
TR10,TR00,TR,TR,889.6
TR11,TR00,TR,TR,425.1
TR12,TR00,TR,TR,39.2
TR13,TR00,TR,TR,200.55
UA01,UA01,UA,UA,33.9
UA02,UA02,UA,UA,934.375
UK01,UK00,UK,UK,712.01
UK02,UK00,UK,UK,291.015
UK03,UK00,UK,UK,2068.215
UK04,UK00,UK,UK,4854.805
UK05,UK00,UK,UK,4537.86
