Code,Study_Zone,Country,NUTS0,Weight_in_aggregation
AL00,AL00,AL,AL,15
AT01,AT00,AT,AT,7
AT02,AT00,AT,AT,16
AT03,AT00,AT,AT,4
AT04,AT00,AT,AT,16
BA00,BA00,BA,BA,35
BE01,BE00,BE,BE,4
BE02,BE00,BE,BE,8
BE03,BE00,BE,BE,11
BG01,BG00,BG,BG,46
BG02,BG00,BG,BG,28
CH00,CH00,CH,CH,13
CY00,CY00,CY,CY,4
CZ01,CZ00,CZ,CZ,28
CZ02,CZ00,CZ,CZ,23
DE01,DE00,DE,DE,42
DE02,DE00,DE,DE,30
DE03,DE00,DE,DE,13
DE04,DE00,DE,DE,31
DE05,DE00,DE,DE,32
DE06,DE00,DE,DE,20
DE07,DE00,DE,DE,34
DKE1,DKE1,DK,DK,9
DKW1,DKW1,DK,DK,32
DZ01,DZ00,DZ,DZ,44
DZ02,DZ00,DZ,DZ,22
DZ03,DZ00,DZ,DZ,40
DZ04,DZ00,DZ,DZ,48
DZ05,DZ00,DZ,DZ,121
DZ06,DZ00,DZ,DZ,74
DZ07,DZ00,DZ,DZ,49
DZ08,DZ00,DZ,DZ,143
DZ09,DZ00,DZ,DZ,302
DZ10,DZ00,DZ,DZ,80
DZ11,DZ00,DZ,DZ,376
EE00,EE00,EE,EE,36
EG01,EG00,EG,EG,91
EG02,EG00,EG,EG,61
EG03,EG00,EG,EG,5
EG04,EG00,EG,EG,16
EG05,EG00,EG,EG,12
EG06,EG00,EG,EG,16
EG07,EG00,EG,EG,30
EG08,EG00,EG,EG,23
EG09,EG00,EG,EG,66
EG10,EG00,EG,EG,54
EG11,EG00,EG,EG,164
ES01,ES00,ES,ES,20
ES02,ES00,ES,ES,32
ES03,ES00,ES,ES,41
ES04,ES00,ES,ES,13
ES05,ES00,ES,ES,31
ES06,ES00,ES,ES,15
ES07,ES00,ES,ES,4
ES08,ES00,ES,ES,48
ES09,ES00,ES,ES,20
ES10,ES00,ES,ES,23
ES11,ES00,ES,ES,40
ES12,ES00,ES,ES,2
FI01,FI00,FI,FI,171
FI02,FI00,FI,FI,184
FR01,FR00,FR,FR,32
FR02,FR00,FR,FR,13
FR03,FR00,FR,FR,19
FR04,FR00,FR,FR,14
FR05,FR00,FR,FR,18
FR06,FR00,FR,FR,1
FR07,FR00,FR,FR,25
FR08,FR00,FR,FR,20
FR09,FR00,FR,FR,20
FR10,FR00,FR,FR,4
FR11,FR00,FR,FR,20
FR12,FR00,FR,FR,12
FR13,FR00,FR,FR,3
FR14,FR00,FR,FR,8
FR15,FR00,FR,FR,10
FR16,FR00,FR,FR,13
FR17,FR00,FR,FR,18
FR18,FR00,FR,FR,2
FR19,FR00,FR,FR,2
FR20,FR00,FR,FR,7
FR21,FR00,FR,FR,6
FR22,FR00,FR,FR,4
FR23,FR00,FR,FR,3
FR24,FR00,FR,FR,18
FR25,FR00,FR,FR,8
FR26,FR00,FR,FR,16
FR27,FR00,FR,FR,4
GR01,GR00,GR,EL,36
GR02,GR00,GR,EL,28
GR03,GR03,GR,EL,5
HR01,HR00,HR,HR,16
HR02,HR00,HR,HR,24
HU01,HU00,HU,HU,4
HU02,HU00,HU,HU,24
HU03,HU00,HU,HU,36
IE00,IE00,IE,IE,61
IL01,IL00,IL,IL,4
IL02,IL00,IL,IL,5
IS00,IS00,IS,IS,102
ITCA,ITCA,IT,IT,8
ITCN,ITCN,IT,IT,20
ITCS,ITCS,IT,IT,28
ITN1,ITN1,IT,IT,70
ITS1,ITS1,IT,IT,20
ITSA,ITSA,IT,IT,16
ITSI,ITSI,IT,IT,16
JO01,JO00,JO,JO,4
JO02,JO00,JO,JO,6
JO03,JO00,JO,JO,9
JO04,JO00,JO,JO,13
JO05,JO00,JO,JO,4
JO06,JO00,JO,JO,15
LB01,LB00,LB,LB,2
LB02,LB00,LB,LB,3
LT00,LT00,LT,LT,52
LU00,LU00,LU,LU,1
LV00,LV00,LV,LV,50
LY01,LY00,LY,LY,17
LY02,LY00,LY,LY,143
LY03,LY00,LY,LY,126
LY04,LY00,LY,LY,394
LY05,LY00,LY,LY,168
LY06,LY00,LY,LY,84
MA01,MA00,MA,MA,7
MA02,MA00,MA,MA,40
MA03,MA00,MA,MA,23
MA04,MA00,MA,MA,10
MA05,MA00,MA,MA,12
MA06,MA00,MA,MA,12
MA07,MA00,MA,MA,20
MA08,MA00,MA,MA,3
MA09,MA00,MA,MA,19
MA10,MA00,MA,MA,26
MA11,MA00,MA,MA,81
MA12,MA00,MA,MA,63
MD00,MD00,MD,MD,24
ME00,ME00,ME,ME,8
